"job_id";"language_name";"l_read";"l_write";"l_speak";"id"
4;"english";"read";"";"";1
4;"gujarat";"read";"";"speak";2
4;"hindi";"read";"write";"speak";3
194;"hindi";"read";"";"";4
195;"hindi";"read";"";"";5
196;"hindi";"read";"";"";6
197;"hindi";"read";"";"";7
198;"hindi";"read";"";"";8
201;"english";"read";"write";"";9
201;"gujarat";"read";"write";"speak";10
201;"hindi";"read";"write";"speak";11
202;"hindi";"read";"";"";12
203;"hindi";"read";"";"";13
204;"hindi";"read";"";"";14
205;"hindi";"read";"";"";15
206;"hindi";"read";"";"";16
207;"hindi";"read";"";"";17
208;"hindi";"read";"";"";18
209;"hindi";"read";"";"";19
210;"hindi";"read";"";"";20
211;"english";"read";"write";"speak";21
211;"gujarat";"read";"write";"speak";22
211;"hindi";"read";"write";"speak";23
212;"hindi";"read";"";"";24
213;"hindi";"read";"";"";25
214;"hindi";"read";"";"";26
215;"hindi";"read";"";"";27
216;"hindi";"read";"";"";28
217;"english";"read";"write";"speak";29
217;"gujarat";"read";"write";"speak";30
217;"hindi";"read";"write";"speak";31
221;"hindi";"read";"write";"";32
259;"english";"read";"write";"";33
260;"english";"read";"write";"";34
261;"english";"read";"write";"";35
262;"english";"read";"write";"";36
263;"english";"read";"write";"";37
265;"english";"";"";"speak";38
265;"hindi";"read";"write";"speak";39
266;"english";"read";"write";"speak";40
266;"gujarat";"read";"write";"speak";41
266;"hindi";"read";"write";"speak";42
267;"english";"read";"write";"speak";43
267;"gujarat";"read";"write";"speak";44
267;"hindi";"read";"write";"speak";45
268;"english";"read";"write";"speak";46
268;"gujarat";"read";"write";"speak";47
268;"hindi";"read";"write";"speak";48
269;"english";"read";"write";"speak";49
269;"gujarat";"read";"write";"speak";50
269;"hindi";"read";"write";"speak";51
270;"english";"read";"write";"speak";52
270;"gujarat";"read";"write";"speak";53
270;"hindi";"read";"write";"speak";54
271;"english";"read";"write";"speak";55
271;"gujarat";"read";"write";"speak";56
271;"hindi";"read";"write";"speak";57
272;"english";"read";"write";"speak";58
272;"gujarat";"read";"write";"speak";59
272;"hindi";"read";"write";"speak";60
273;"english";"read";"write";"speak";61
273;"gujarat";"read";"write";"speak";62
273;"hindi";"read";"write";"speak";63
274;"english";"read";"write";"speak";64
274;"gujarat";"read";"write";"speak";65
274;"hindi";"read";"write";"speak";66
275;"english";"read";"write";"";67
275;"hindi";"read";"write";"";69
278;"hindi";"read";"write";"speak";70
278;"gujarat";"read";"write";"speak";71
279;"hindi";"read";"write";"speak";72
279;"gujarat";"read";"write";"speak";73
301;"hindi";"";"";"";74
301;"gujarat";"";"";"";75
301;"english";"";"";"";76
311;"hindi";"";"";"";77
311;"english";"";"";"";78
313;"hindi";"";"";"";79
313;"english";"";"";"";80
316;"hindi";"";"write";"";81
316;"english";"";"write";"";82
317;"hindi";"read";"write";"";83
317;"english";"";"write";"speak";84
